,世帯数分布(抽出率調整),集計世帯数,世帯人員(人),18歳未満人員(人),65歳以上人員(人),うち無職者人員(人),有業人員(人),世帯主の年齢(歳),持家率(％),家賃・地代を支払っている世帯の割合(％),消費支出,食料,穀類,米,パン,麺類,他の穀類,魚介類,生鮮魚介,塩干魚介,魚肉練製品,他の魚介加工品,肉類,生鮮肉,加工肉,乳卵類,牛乳,乳製品,卵,野菜・海藻,生鮮野菜,乾物・海藻,大豆加工品,他の野菜・海藻加工品,果物,生鮮果物,果物加工品,油脂・調味料,油脂,調味料,菓子類,調理食品,主食的調理食品,他の調理食品,飲料,茶類,コーヒー・ココア,他の飲料,酒類,外食,一般外食,学校給食,住居,家賃地代,設備修繕・維持,設備材料,工事その他のサービス,光熱・水道,電気代,ガス代,他の光熱,上下水道料,家具・家事用品,家庭用耐久財,家事用耐久財,冷暖房用器具,一般家具,室内装備・装飾品,寝具類,家事雑貨,家事用消耗品,家事サービス,被服及び履物,和服,洋服,男子用洋服,婦人用洋服,子供用洋服,シャツ・セーター類,男子用シャツ・セーター類,婦人用シャツ・セーター類,子供用シャツ・セーター類,下着類,男子用下着類,婦人用下着類,子供用下着類,生地・糸類,他の被服,履物類,被服関連サービス,保健医療,医薬品,健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通・通信,交通,自動車等関係費,自動車等購入,自転車購入,自動車等維持,通信,教育,授業料等,教科書・学習参考教材,補習教育,教養娯楽,教養娯楽用耐久財,教養娯楽用品,書籍・他の印刷物,教養娯楽サービス,宿泊料,パック旅行費,月謝類,他の教養娯楽サービス,その他の消費支出,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,こづかい(使途不明),交際費,贈与金,他の交際費,仕送り金,財・サービス支出計,財(商品),耐久財,半耐久財,非耐久財,サービス,食料(財・サービス),非耐久財(食料),サービス(食料),住居(財・サービス),耐久財(住居),半耐久財(住居),サービス(住居),家具・家事用品(財・サービス),耐久財(家具・家事用品),半耐久財(家具・家事用品),非耐久財(家具・家事用品),サービス(家具・家事用品),被服及び履物(財・サービス),半耐久財(被服及び履物),サービス(被服及び履物),保健医療(財・サービス),耐久財(保健医療),半耐久財(保健医療),非耐久財(保健医療),サービス(保健医療),交通・通信(財・サービス),耐久財(交通・通信),半耐久財(交通・通信),非耐久財(交通・通信),サービス(交通・通信),教育(財・サービス),非耐久財(教育),サービス(教育),教養娯楽(財・サービス),耐久財(教養娯楽),半耐久財(教養娯楽),非耐久財(教養娯楽),サービス(教養娯楽),諸雑費(財・サービス),耐久財(諸雑費),半耐久財(諸雑費),非耐久財(諸雑費),サービス(諸雑費),調整集計世帯数,教養娯楽関係費,耐久財(教養娯楽関係費),他の教養娯楽関係費,読書,聴視・観覧,旅行,スポーツ,月謝,会費・つきあい費,その他の教養娯楽,消費支出(再掲),基礎的支出,選択的支出
2000-01-01,10000,7887,3.32,0.74,0.52,0.41,1.51,52.4,76,22.1,309621,73580,6100,2338,2127,1325,310,8525,5479,1370,819,858,6229,5144,1085,3390,1590,1114,686,8029,4702,741,1250,1336,2866,2660,205,2897,264,2633,6290,7377,2945,4431,2918,857,578,1483,3004,15955,14773,1181,16559,11218,5342,1081,4261,24956,11096,7008,2119,4733,9805,3099,1689,959,451,955,975,2301,1586,890,19602,1175,8840,2743,4924,1173,3767,1139,2314,314,1520,506,818,196,287,1470,1653,891,10941,1829,533,2594,5986,31386,6665,15473,3923,215,11335,9247,12532,9406,281,2845,31681,4296,7148,4304,15932,2194,3703,3791,6245,78579,19157,3090,3175,2137,1137,9618,21858,31052,27343,3709,6512,250199,148374,15458,30316,102601,101824,73580,57625,15955,16559,875,205,15479,9805,4065,3264,1586,890,19602,18712,891,10941,1123,422,3410,5986,31386,4435,1025,3876,22049,12532,281,12251,31681,4163,4624,6818,16075,19157,797,2064,4047,12249,736445,34008,3912,30096,4304,2049,8876,3001,3241,1561,7063,309621,184372,125248
2000-02-01,10000,7942,3.32,0.75,0.53,0.41,1.51,52.6,76.3,22,290663,73309,6915,2919,2329,1359,308,8627,5475,1500,802,850,6449,5242,1208,3650,1678,1200,772,8570,5102,744,1298,1427,3168,3001,167,3111,272,2838,6452,7465,2996,4469,3025,856,610,1558,3203,12673,11472,1201,18454,11266,7189,1858,5331,25678,10973,7456,2640,4609,9208,2664,1328,690,647,985,836,2073,1812,838,14400,954,6107,1927,3386,793,2565,786,1543,235,1308,431,731,145,268,1131,1238,830,11789,1995,537,2361,6896,31041,5563,16982,5073,181,11728,8496,14481,11411,220,2849,29737,3191,6255,4586,15705,1392,4929,3833,5552,62565,18800,2839,3402,2603,1133,8823,20078,16061,12340,3721,7625,246898,146773,15010,24781,106981,100125,73309,60636,12673,18454,1571,286,16597,9208,3374,3184,1812,838,14400,13571,830,11789,853,443,3597,6896,31041,5455,887,3856,20843,14481,220,14260,29737,3026,3937,6892,15882,18800,731,2473,4291,11306,735391,32103,2920,29183,4586,2199,9058,2200,3329,1441,6370,290663,170045,120618
2000-03-01,10000,7934,3.32,0.75,0.53,0.41,1.51,52.7,76.2,22.6,335341,79726,7496,3226,2492,1482,296,9268,5880,1613,794,981,6483,5170,1314,3940,1835,1300,804,9268,5630,841,1311,1487,3270,3111,159,3262,308,2954,7216,8050,3287,4762,3496,1038,673,1784,3722,14255,13552,702,18401,11473,6928,1261,5667,25333,10716,7591,2214,4812,11053,3536,1964,574,998,896,1207,2553,2001,860,18366,335,8528,2847,4686,995,3272,885,2071,317,1317,372,765,181,308,1244,2170,1192,11767,2135,743,2425,6464,39097,7076,23076,8274,457,14346,8945,17709,12545,1100,4064,36010,4409,8561,4858,18182,1671,6593,4156,5762,77880,22685,3380,3916,2855,1255,11279,21286,21913,18243,3670,11996,280147,166943,20487,31204,115252,113203,79726,65471,14255,18401,871,390,17140,11053,4329,3863,2001,860,18366,17174,1192,11767,1043,368,3891,6464,39097,9004,1542,4206,24345,17709,1100,16609,36010,4235,5050,8355,18370,22685,1006,2816,4896,13968,735404,39415,4248,35166,4858,1977,12249,3022,3497,1495,8068,335341,186202,149139
2000-04-01,10000,7922,3.32,0.75,0.52,0.41,1.52,52.6,75.8,22.2,335276,77344,7470,3346,2441,1458,225,8736,5438,1571,761,966,6485,5082,1404,3803,1769,1264,770,9268,5762,828,1262,1415,2999,2848,152,3149,315,2834,6353,8104,3239,4865,3575,994,675,1906,3769,13632,12975,657,18816,11047,7770,2199,5571,22910,10109,7258,1194,4349,9647,2304,1441,326,537,891,749,2659,2097,947,18028,726,6885,1991,3924,970,3603,1062,2115,425,1361,431,725,205,267,1267,2032,1887,11251,1943,524,2159,6624,41356,8075,24698,10131,602,13966,8582,24049,19239,926,3885,34146,3039,8762,4552,17793,1349,5700,4092,6652,77730,20400,3109,3674,2386,1214,10017,19901,18082,13656,4426,19347,277947,159355,20291,28944,110119,118592,77344,63712,13632,18816,1830,369,16618,9647,3010,3593,2097,947,18028,16141,1887,11251,1000,286,3340,6624,41356,10981,1563,4087,24725,24049,926,23124,34146,2890,4777,8519,17960,20400,580,2216,4528,13076,734606,37458,3109,34349,4552,2470,10432,3129,3768,1888,8109,335276,173441,161835
2000-05-01,10000,7928,3.31,0.75,0.52,0.41,1.53,52.7,76.1,22.6,308566,81415,7447,3264,2458,1523,203,8857,5554,1586,756,961,6655,5168,1487,3899,1877,1258,763,9533,5983,767,1314,1469,3148,2985,162,3307,321,2985,6466,7903,3092,4811,4384,1586,676,2122,4133,15682,14187,1495,19252,11688,7564,1173,6391,21075,8890,6608,719,4858,11276,3145,1837,543,764,1403,905,2526,2295,1002,18712,632,6464,2183,3516,765,4220,1223,2603,395,1713,504,974,236,354,1417,1952,1960,11335,1972,534,2342,6487,36089,7019,19486,6117,284,13085,9584,11512,8516,427,2568,33824,2658,8202,4516,18447,2235,6013,3306,6893,64077,19449,3139,3734,2375,1229,8973,20030,17442,13397,4045,7156,263938,155205,15592,28517,111096,108733,81415,65732,15682,19252,762,410,18079,11276,4283,3696,2295,1002,18712,16753,1960,11335,965,513,3370,6487,36089,6613,1158,4467,23852,11512,427,11084,33824,2517,3666,9032,18608,19449,452,2321,4698,11979,733789,38525,3354,35171,4516,2202,11746,2946,3256,1683,8822,308566,177153,131413
2000-06-01,10000,7917,3.31,0.74,0.53,0.42,1.53,52.6,76,22.9,297648,76721,7328,3165,2354,1616,193,8167,5062,1444,705,956,6419,4965,1454,3785,1846,1232,707,9482,6072,761,1285,1363,3376,3236,141,3499,368,3131,5656,7507,2729,4777,4111,1226,701,2184,4179,13213,11852,1361,21446,11886,9560,3216,6343,18435,7769,5569,428,4669,11724,4131,2173,1349,609,1117,731,2190,2471,1083,17145,891,5466,1911,2972,583,4039,1585,2168,285,1816,611,1013,192,355,1211,1909,1458,11210,1878,763,2282,6288,34219,5681,19295,5876,303,13116,9242,9376,6320,215,2840,31613,3065,6570,4317,17661,966,6201,3888,6606,65759,19793,3008,3862,2225,1207,9491,22688,15591,11275,4315,7688,251681,149909,18475,26944,104489,101772,76721,63508,13213,21446,2890,326,18230,11724,4738,3432,2471,1083,17145,15688,1458,11210,844,518,3560,6288,34219,6463,1351,4094,22310,9376,215,9161,31613,2900,3423,7449,17840,19793,640,2207,4756,12189,733403,34984,3146,31838,4317,2728,10103,2645,3602,1585,6858,297648,169779,127868
2000-07-01,10000,7907,3.31,0.74,0.54,0.42,1.52,52.7,75.7,23,326480,83782,7794,3160,2292,2162,181,8141,4871,1480,662,1128,6603,4971,1631,3788,1953,1161,674,9164,5466,970,1302,1427,4238,4080,158,3639,526,3113,6303,8616,3098,5518,5118,1331,830,2957,5362,15014,13855,1159,24479,12183,12296,3304,8992,18610,8461,5023,353,4773,15126,6325,2571,2788,967,1161,929,2701,2785,1227,18289,783,6582,1904,3792,885,4412,1452,2576,384,1817,560,1052,205,265,1140,2144,1147,11918,2103,657,2850,6308,40606,8077,23108,8466,373,14269,9420,11264,7255,239,3771,35488,4123,6906,4553,19907,1899,8434,3725,5849,66917,19181,3252,4024,2313,1280,8311,23570,16571,12822,3749,7596,278743,165975,24990,29858,111126,112769,83782,68767,15014,24479,2850,454,21175,15126,7213,3902,2785,1227,18289,17142,1147,11918,1197,730,3684,6308,40606,9170,1687,4369,25379,11264,239,11026,35488,3898,3765,7681,20145,19181,662,2179,4992,11348,733102,39813,4126,35688,4553,1963,14531,2806,3236,1566,7033,326480,180853,145627
2000-08-01,10000,7908,3.31,0.74,0.53,0.42,1.52,52.9,75.9,22.4,309993,86988,7324,3164,2182,1779,200,8653,5377,1516,697,1064,6678,5146,1532,3805,2010,1121,674,9118,5546,831,1307,1433,5070,4940,130,3315,359,2956,7531,8568,3471,5097,4847,1148,773,2926,4840,17239,16558,681,18670,10974,7696,1416,6280,20289,10730,4388,278,4894,11056,3657,1667,1177,813,822,664,2312,2400,1201,13146,865,4538,1097,2843,598,2919,877,1798,244,1366,436,774,156,284,799,1509,865,11161,2018,743,2205,6195,35593,9310,16891,3546,225,13120,9393,8517,5447,138,2932,38792,2951,6786,4443,24611,4976,8938,3179,7518,65780,19625,3118,3427,2287,1260,9533,21330,17089,13472,3618,7737,263837,151272,14371,22896,114004,112566,86988,69749,17239,18670,1094,322,17254,11056,4319,3136,2400,1201,13146,12280,865,11161,871,486,3609,6195,35593,4007,1188,5349,25049,8517,138,8379,38792,2781,3180,8034,24797,19625,1299,2302,4436,11587,732403,43664,3028,40636,4443,2976,18619,2499,2714,1390,7995,309993,179332,130661
2000-09-01,10000,7917,3.31,0.74,0.53,0.42,1.51,52.8,75.8,22.6,296457,76985,7631,3867,2191,1355,218,8309,5280,1388,756,885,6434,5029,1404,3850,1936,1171,742,9328,5912,727,1265,1423,4214,4095,119,3149,298,2851,5823,8028,3132,4895,3817,957,671,2189,3866,12539,11380,1159,19446,11232,8214,1444,6771,20701,11265,4141,317,4977,10221,2961,1554,742,664,1059,744,2329,2193,936,13299,1166,4525,1183,2651,691,2654,674,1718,262,1228,367,693,168,223,943,1650,909,9965,1839,728,2080,5318,36437,6214,21369,8143,219,13007,8853,16242,13255,220,2767,29443,3048,6506,4277,15611,1344,5106,3679,5481,63719,18776,2971,3471,1865,1145,9324,19041,15062,11549,3513,10840,251514,148200,17941,22968,107291,103315,76985,64446,12539,19446,1163,281,18003,10221,3805,3288,2193,936,13299,12390,909,9965,883,337,3426,5318,36437,8639,1538,4523,21736,16242,220,16022,29443,2850,3347,7420,15826,18776,601,1787,4362,12027,732701,32687,3284,29402,4277,2077,9254,2479,3337,1297,6681,296457,166901,129556
2000-10-01,10000,7937,3.3,0.73,0.54,0.42,1.52,53,76.6,22.8,309193,79477,8314,4386,2264,1380,284,8660,5351,1487,887,936,6665,5269,1396,3859,1906,1171,783,9770,6093,762,1311,1604,3601,3478,123,3273,296,2978,5863,8333,3344,4990,3444,914,703,1827,3792,13902,12596,1306,20367,11819,8548,1530,7018,19244,8986,4384,688,5186,10879,2804,1401,723,680,1200,1209,2453,2140,1072,17885,410,7094,1917,3999,1179,3781,1227,2175,379,1715,595,902,219,254,1353,1830,1447,11391,1799,744,2348,6500,33333,6919,16114,3471,195,12448,10300,16648,13500,214,2935,31848,3022,6954,4602,17269,1658,5598,3737,6275,68122,19959,3150,3726,1974,1201,9909,20355,15955,12238,3717,11852,261031,148581,13419,27694,107468,112450,79477,65575,13902,20367,1174,356,18837,10879,3703,3963,2140,1072,17885,16438,1447,11391,1104,330,3457,6500,33333,4024,1015,4415,23879,16648,214,16434,31848,2816,3800,7744,17487,19959,597,1791,4679,12892,732466,35527,3088,32440,4602,2485,10671,2971,3489,1390,6831,309193,174690,134503
