《季節調整値》　（単位：百万円）,,
Seasonally adjusted data (a million yen),,
Years/Months,Exp-Total,Imp-Total
,,
2010/06,5635901,5238395
2010/07,5688985,5187889
2010/08,5643842,5176241
2010/09,5581432,5108268
2010/10,5748036,5138540
2010/11,5745139,5164765
2010/12,5803928,5136457
2011/01,5759996,5396450
2011/02,5754154,5271215
2011/03,5147199,5299671
2011/04,4920439,5745435
2011/05,5159872,5741959
2011/06,5511368,5705350
2011/07,5658632,5885568
2011/08,5661317,6016251
2011/09,5690660,5667415
2011/10,5581473,5989950
2011/11,5432189,5849585
2011/12,5328135,5786640
2012/01,5250281,5702045
2012/02,5378673,5530573
2012/03,5409393,6020203
2012/04,5510000,6056896
2012/05,5517455,6251324
2012/06,5379813,5826313
2012/07,5306331,5770639
2012/08,5238461,5699104
2012/09,5276265,6379039
2012/10,5090912,5524250
2012/11,5107991,5746199
2012/12,5187172,5978432
2013/01,5377113,6015009
2013/02,5436850,6462094
2013/03,5634543,6555475
2013/04,5631943,6558023
2013/05,6042123,6808663
2013/06,5964097,6781365
2013/07,5826990,6736586
2013/08,6027910,6934177
2013/09,5923924,6937602
2013/10,5964745,7066300
2013/11,5996017,7246025
2013/12,5969030,7148171
2014/01,5780603,7330429
2014/02,5964036,7076327
2014/03,5823523,7701995
2014/04,5914435,6990490
2014/05,5934868,6933026
2014/06,5892420,6943951
2014/07,6039240,7031786
2014/08,6108715,7044662
2014/09,6239941,7203877
2014/10,6429360,7123894
2014/11,6400710,7325122
2014/12,6511232,7033426
2015/01,6731672,6902085
2015/02,6109817,6863289
2015/03,6375911,6408843
2015/04,6371876,6673316
2015/05,6287494,6557254
2015/06,6358045,6639587
2015/07,6445077,6676445
2015/08,6372600,6761028
2015/09,6267099,6519467
2015/10,6269672,6420812
2015/11,6142989,6120099
2015/12,5892019,5827691
2016/1,6000420,5831311
2016/2,5666326,5585336
2016/3,5765024,5443158
2016/4,5734131,5346048
2016/5,5727994,5411580
2016/6,5842220,5465397
2016/7,5704908,5416780
2016/8,5643768,5271150
2016/9,5791090,5355539
2016/10,5819143,5454141
2016/11,5913366,5560006
2016/12,6104718,5807427
2017/1,6170606,6070533
2017/2,6512874,6063922
2017/3,6375001,6220135
2017/4,6359297,6388006
2017/5,6472285,6178009
2017/6,6416321,6272946
2017/7,6561162,6243728
2017/8,6622570,6207197
2017/9,6642018,6313320
2017/10,6652550,6247011
2017/11,6786603,6436352
2017/12,6807059,6859856
2018/1,6755798,6414882
2018/2,6589102,7114167
2018/3,6494869,6469943
2018/4,6900370,6333300
2018/5,7020050,7120767
2018/6,6910129,6735117
2018/7,6878404,6914934
2018/8,6976583,7046222
2018/9,6767237,7028954
2018/10,6998850,7293535
2018/11,6738409,7178157
2018/12,6580481,6913656
2019/1,6154762,6508210
2019/2,6450863,6650073
2019/3,6470898,6740174
2019/4,6627591,6604180
2019/5,6471203,6853304
2019/6,6702035,6615388
2019/7,6631632,6664842
2019/8,6422056,6506137
2019/9,6453933,6512443
2019/10,6282791,6322011
2019/11,6205471,6358722
2019/12,6163522,6364236
2020/1,5941396,6179581
2020/2,6078998,5727298
2020/3,5782303,6107656
2020/4,5121827,6164967
2020/5,4823431,5424400
